,사이즈,총장,어깨너비,가슴단면,소매길이,성별,키,몸무게,후기
291,L,72,52,58,25,여자,167cm,60kg,큼
292,L,72,52,58,25,여자,167cm,60kg,큼
293,L,72,52,58,25,여자,167cm,60kg,큼
294,L,72,52,58,25,여자,167cm,60kg,큼
295,L,72,52,58,25,여자,167cm,60kg,큼
296,L,72,52,58,25,남자,169cm,68kg,적당함
297,L,72,52,58,25,남자,169cm,68kg,적당함
298,L,72,52,58,25,남자,169cm,68kg,적당함
299,L,72,52,58,25,남자,169cm,68kg,적당함
300,L,72,52,58,25,여자,167cm,62kg,적당함
301,L,72,52,58,25,여자,167cm,62kg,적당함
302,L,72,52,58,25,여자,167cm,62kg,적당함
303,L,72,52,58,25,여자,167cm,62kg,적당함
304,L,72,52,58,25,여자,155cm,60kg,큼
305,L,72,52,58,25,여자,155cm,60kg,큼
306,L,72,52,58,25,여자,155cm,60kg,큼
307,L,72,52,58,25,여자,155cm,60kg,큼
308,L,72,52,58,25,여자,167cm,62kg,적당함
309,L,72,52,58,25,여자,167cm,62kg,적당함
310,L,72,52,58,25,여자,167cm,62kg,적당함
311,L,72,52,58,25,여자,167cm,62kg,적당함
312,L,72,52,58,25,여자,162cm,60kg,큼
313,L,72,52,58,25,여자,162cm,60kg,큼
314,L,72,52,58,25,여자,162cm,60kg,큼
315,L,72,52,58,25,여자,162cm,60kg,큼
316,L,72,52,58,25,여자,169cm,55kg,큼
317,L,72,52,58,25,여자,169cm,55kg,큼
318,L,72,52,58,25,여자,169cm,55kg,큼
319,L,72,52,58,25,여자,169cm,55kg,큼
320,L,72,52,58,25,여자,158cm,45kg,적당함
321,L,72,52,58,25,여자,158cm,45kg,적당함
322,L,72,52,58,25,여자,158cm,45kg,적당함
323,L,72,52,58,25,여자,158cm,45kg,적당함
324,L,72,52,58,25,남자,173cm,63kg,적당함
325,L,72,52,58,25,남자,173cm,63kg,적당함
326,L,72,52,58,25,남자,173cm,63kg,적당함
327,L,72,52,58,25,남자,173cm,63kg,적당함
328,L,72,52,58,25,여자,170cm,75kg,큼
